Rozdzial;Narzędzia i sprzęt
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
guillotine;gilotyna;;[sound:quizlet-16914793172-front.mp3];[sound:quizlet-16914793172-back.mp3];"<img src=""quizlet-0L62aNbDmz4bj4pIUQi7RQ.jpg"">"
hacksaw;piła do metalu;;[sound:quizlet-16914793177-front.mp3];[sound:quizlet-16914793177-back.mp3];"<img src=""quizlet-wntAUj3wXE9ldyqdL-UXCg.jpg"">"
hammer;młot;;[sound:quizlet-16914793179-front.mp3];[sound:quizlet-16914793179-back.mp3];"<img src=""quizlet-T8HqhDA46huAS7oaWt1PWg.jpg"">"
hand drill;wiertarka ręczna;;[sound:quizlet-16914793180-front.mp3];[sound:quizlet-16914793180-back.mp3];"<img src=""quizlet-DYeSHiPbQ8zOQVq9wydh9g.jpg"">"
handwheel;pokrętło ręczne;;[sound:quizlet-16914793181-front.mp3];[sound:quizlet-16914793181-back.mp3];"<img src=""quizlet-ZU61NZ0G3EOqak8Ufz59pA.jpg"">"
hod;taczka;Synonimy: wheelbarrow;[sound:quizlet-16914793198-front.mp3];[sound:quizlet-16914793198-back.mp3];"<img src=""brick hod.jpg""><img src=""hod.jpg"">"
hoist;wciągnik;;[sound:quizlet-16914793199-front.mp3];[sound:quizlet-16914793199-back.mp3];"<img src=""quizlet-vG3abPIyjXrveRr4Q7VMiw.jpg"">"
ladder;drabina;;[sound:quizlet-16914797819-front.mp3];[sound:quizlet-16914797819-back.mp3];"<img src=""quizlet-.Rg2f8uCgpZNkR0lJLNaEQ.jpg"">"
lever;dźwignia;Synonimy: jack;[sound:quizlet-16914797833-front.mp3];[sound:quizlet-16914797833-back.mp3];"<img src=""quizlet-FUnn1enlcO8AcYgalo4Yzw.png"">"
mallet;drewniany młotek;;[sound:quizlet-16914797858-front.mp3];[sound:quizlet-16914797858-back.mp3];"<img src=""quizlet-OD-.o2AfAVrvIaP8biz4ww.jpg"">"
protractor;kątomierz;;[sound:quizlet-16914807905-front.mp3];[sound:quizlet-16914807905-back.mp3];"<img src=""quizlet-RwyebOEpKn24kKfxP7TY4Q.png"">"
rasp;zgrzyt;;[sound:quizlet-16914807917-front.mp3];[sound:quizlet-16914807917-back.mp3];"<img src=""quizlet-YsVRQ7EtoMhUKiC912vEUw.jpg"">"
sandpaper;papier ścierny;;[sound:quizlet-16914807951-front.mp3];[sound:quizlet-16914807951-back.mp3];"<img src=""quizlet--qx2mhbVysC-YVS1R1R5YA.jpg"">"
saw;piła;;[sound:quizlet-16914807957-front.mp3];[sound:quizlet-16914807957-back.mp3];"<img src=""quizlet-J4RwHsKRiwfYIqordaf4aQ.jpg"">"
scaffolder;rusztowanie;;[sound:quizlet-16914807960-front.mp3];[sound:quizlet-16914807960-back.mp3];"<img src=""quizlet-0B34N2jFmANzOySG3e0csQ.jpg"">"
shovel;łopata;Synonimy: spade;[sound:quizlet-16914807980-front.mp3];[sound:quizlet-16914807980-back.mp3];"<img src=""quizlet-gdcL4Pi51szo-I4msWVgnQ.jpg"">"
soldering iron;lutownica;;[sound:quizlet-16914808012-front.mp3];[sound:quizlet-16914808012-back.mp3];"<img src=""quizlet-LygeF6Y0oT0znwxrJ6HzmQ.jpg"">"
tool;narzędzie;;[sound:quizlet-16914808062-front.mp3];[sound:quizlet-16914808062-back.mp3];"<img src=""quizlet-Pu58yTtoktkTdIj65LJpbg.jpg"">"
