Rozdzial;Elementy konstrukcyjne
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
bond;więź;Synonimy: link, attachment;[sound:quizlet-16914769534-front.mp3];[sound:quizlet-16914769534-back.mp3];"<img src=""quizlet-zJ_CP9BcThXLVP0wcL3tkQ.jpg"">"
bottom stair;pierwszy stopień;;[sound:quizlet-16914769536-front.mp3];[sound:quizlet-16914769536-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074794_200115_1156_07.jpg'>
brace;zastrzał;;[sound:quizlet-16914769540-front.mp3];[sound:quizlet-16914769540-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074796_200115_1255_19.jpg'>
bracket;wspornik;Synonimy: cantilever, corbel;[sound:quizlet-16914769541-front.mp3];[sound:quizlet-16914769541-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374792_200114_1635_31.jpg'>
brick wall;mur z cegły;;[sound:quizlet-16914769546-front.mp3];[sound:quizlet-16914769546-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074798_200115_1209_38.jpg'>
bridging;usztywnienie;;[sound:quizlet-16914769549-front.mp3];[sound:quizlet-16914769549-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074799_200115_1254_52.jpg'>
buttress;przypora;Synonimy: counterfort;[sound:quizlet-16914769569-front.mp3];[sound:quizlet-16914769569-back.mp3];"<img src=""quizlet-I0LQmXGyk8amD_9O3n1oWA.jpg"">"
camber;wygięcie;Synonimy: dent, deflection, curve;[sound:quizlet-16914769577-front.mp3];[sound:quizlet-16914769577-back.mp3];"<img src=""quizlet-nyw-Bd.ACFM.XgIJ0MQfxQ.jpg"">"
capital;kapitel;;[sound:quizlet-16914769580-front.mp3];[sound:quizlet-16914769580-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074959_191228_1550_11.jpg'>
carcassing;stelaż;Synonimy: frame;[sound:quizlet-16914769585-front.mp3];[sound:quizlet-16914769585-back.mp3];"<img src=""carcassing.jpg"">"
carrying capacity;nośność;Synonimy: bearing capacity;[sound:quizlet-16914769589-front.mp3];[sound:quizlet-16914769589-back.mp3];"<img src=""quizlet-KIGWAoQ9L2ynKFJbsk6rKg.jpg"">"
casing;obudowa;Synonimy: housing, cover;[sound:quizlet-16914779099-front.mp3];[sound:quizlet-16914779099-back.mp3];"<img src=""quizlet-Gncf-lt5kwrlInS1re.wVg.jpg"">"
catwalk;pomost roboczy (kładka);;[sound:quizlet-16914779106-front.mp3];[sound:quizlet-16914779106-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074968_200115_1343_25.jpg'>
cavity;wgłębienie;Synonimy: recess;[sound:quizlet-16914779109-front.mp3];[sound:quizlet-16914779109-back.mp3];"<img src=""cavity.jpg"">"
ceiling joist;belka stropowa;;[sound:quizlet-16914779112-front.mp3];[sound:quizlet-16914779112-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074971_200115_1302_39.jpg'>
centre of gravity;środek ciężkości;;[sound:quizlet-16914779115-front.mp3];[sound:quizlet-16914779115-back.mp3];"<img src=""quizlet-.EBaXktUbs0BbdPSdxP.iw.png"">"
centrifugal force;siła odśrodkowa;;[sound:quizlet-16914779116-front.mp3];[sound:quizlet-16914779116-back.mp3];"<img src=""quizlet-vF2lvuk3w-9gAU5pK.TYkg.jpg"">"
