Rozdzial;Wyposażenie i wnętrza
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
hallway;korytarz;Synonimy: corridor;[sound:quizlet-16914793178-front.mp3];[sound:quizlet-16914793178-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077301_200115_1315_00.jpg'>
hanger;wieszak;;[sound:quizlet-16914793183-front.mp3];[sound:quizlet-16914793183-back.mp3];"<img src=""quizlet-OKQKYrLFgq17WBbn-kF1QQ.jpg"">"
illuminance;natężenie oświetlenia;;[sound:quizlet-16914797764-front.mp3];[sound:quizlet-16914797764-back.mp3];"<img src=""quizlet-Tz860L9pW8ELkmxrCj7akw.jpg"">"
illumination;oświetlenie;Synonimy: lighting;[sound:quizlet-16914797765-front.mp3];[sound:quizlet-16914797765-back.mp3];"<img src=""quizlet-Tz860L9pW8ELkmxrCj7akw.jpg"">"
interactive;interaktywny;;[sound:quizlet-16914797790-front.mp3];[sound:quizlet-16914797790-back.mp3];"<img src=""quizlet-dUrxFJ1wZjjEUsdAtBc2Zg.jpg"">"
kitchen;kuchnia;;[sound:quizlet-16914797814-front.mp3];[sound:quizlet-16914797814-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076843_191229_1720_21.jpg'>
kitchen diner;kuchnia mieszkalna;;[sound:quizlet-16914797815-front.mp3];[sound:quizlet-16914797815-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076844_200115_1313_45.jpg'>
knob set;pokrętło;Synonimy: knob;[sound:quizlet-16914797816-front.mp3];[sound:quizlet-16914797816-back.mp3];"<img src=""quizlet-bgz4FX0t-1IkKk2T0b3j4g.png"">"
larder;spiżarnia;Synonimy: pantry, storeroom;[sound:quizlet-16914797825-front.mp3];[sound:quizlet-16914797825-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376518_200115_1312_34.jpg'>
laundry room;pralnia;;[sound:quizlet-16914797828-front.mp3];[sound:quizlet-16914797828-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076641_200115_1315_37.jpg'>
lavatory;toaleta;Synonimy: toilet, WC, latrine;[sound:quizlet-16914797829-front.mp3];[sound:quizlet-16914797829-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376520_191229_1719_55.jpg'>
living-room;salon;Synonimy: sitting-room, day-room;[sound:quizlet-16914797840-front.mp3];[sound:quizlet-16914797840-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076649_200115_1311_20.jpg'>
lobby;hol;;[sound:quizlet-16914797843-front.mp3];[sound:quizlet-16914797843-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076651_200115_1338_03.jpg'>
master bedroom;główna sypialnia;;[sound:quizlet-16914797866-front.mp3];[sound:quizlet-16914797866-back.mp3];"<img src=""quizlet-lDjcDAF5IDwyBTVvH3jcZg.jpg"">"
mat;mata;;[sound:quizlet-16914797867-front.mp3];[sound:quizlet-16914797867-back.mp3];"<img src=""quizlet-qC5UwaYMRi0iWIW4SFt8AA.jpg"">"
mattress;materac;;[sound:quizlet-16914797870-front.mp3];[sound:quizlet-16914797870-back.mp3];"<img src=""quizlet-yu.OsG8r49eFiVtqEKEwew.png"">"
outdoor light;oświetlenie zewnętrzne;;[sound:quizlet-16914797921-front.mp3];[sound:quizlet-16914797921-back.mp3];"<img src=""quizlet-Otpwpk-N0dXsYoGGOdGJ4g.png"">"
sitting-room;pokój dzienny;Synonimy: living-room;[sound:quizlet-16914807993-front.mp3];[sound:quizlet-16914807993-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076309_200115_1314_08.jpg'>
toilet;toaleta;Synonimy: lavatory;[sound:quizlet-16914808061-front.mp3];[sound:quizlet-16914808061-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076093_200115_1313_00.jpg'>
