Rozdzial;Wykończenia i detale
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
dado;boazeria;Synonimy: paneling, wainscot, panelling;[sound:quizlet-16914786276-front.mp3];[sound:quizlet-16914786276-back.mp3];"<img src=""quizlet-jhT8sDyqyyorD1G1iFACRA.jpg"">"
door;brama;Synonimy: gate;[sound:quizlet-16914786326-front.mp3];[sound:quizlet-16914786326-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075050_191229_1727_05.jpg'>
door handle;klamka;Synonimy: doorknob, door knob;[sound:quizlet-16914786327-front.mp3];[sound:quizlet-16914786327-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214375856_200115_1150_56.jpg'>
door lock;zamek od drzwi;;[sound:quizlet-16914786328-front.mp3];[sound:quizlet-16914786328-back.mp3];"<img src=""quizlet-C0haWUKv1TAL9VWvpaDn8Q.jpg"">"
doorframe;rama/framuga drzwi;Synonimy: door frame, door jamb;[sound:quizlet-16914786329-front.mp3];[sound:quizlet-16914786329-back.mp3];"<img src=""quizlet-nYnStth3pJwPQctXlWHJ-A.png"">"
double door;podwójne drzwi;;[sound:quizlet-16914786333-front.mp3];[sound:quizlet-16914786333-back.mp3];"<img src=""quizlet-8BC6fs32vI.F4EHwDznOOg.png"">"
exit door;drzwi wyjściowe;;[sound:quizlet-16914793053-front.mp3];[sound:quizlet-16914793053-back.mp3];"<img src=""quizlet-bP60tpeJH9uBPiR9jFHeMw.jpg"">"
fanlight;naświetlenie;;[sound:quizlet-16914793061-front.mp3];[sound:quizlet-16914793061-back.mp3];"<img src=""quizlet-NKuX-8ZqgFGT2bmcwGtwCA.jpg"">"
fillet;listewka;;[sound:quizlet-16914793066-front.mp3];[sound:quizlet-16914793066-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075181_191228_1555_30.jpg'>
finishing coat;gładź szpachlowa;;[sound:quizlet-16914793069-front.mp3];[sound:quizlet-16914793069-back.mp3];"<img src=""quizlet-MQeygBj79u5-EFJYpygkeA.png"">"
flooring;posadzka;;[sound:quizlet-16914793090-front.mp3];[sound:quizlet-16914793090-back.mp3];"<img src=""quizlet-ZHq3G1FnIvXeWKAbQ0IA.Q.jpg"">"
flooring strip;klepka;;[sound:quizlet-16914793091-front.mp3];[sound:quizlet-16914793091-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075190_200115_1204_18.jpg'>
folding door;drzwi składane;;[sound:quizlet-16914793095-front.mp3];[sound:quizlet-16914793095-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075193_200219_2005_29.jpg'><img src='architektura-i-budownictwo-po-angielsku_2243187c_236075193_200115_1145_54.jpg'>
glaze;glazura;;[sound:quizlet-16914793139-front.mp3];[sound:quizlet-16914793139-back.mp3];"<img src=""quizlet-LqaVO1JtGB-g0mVWHhLREA.jpg"">"
gloss;połysk;Synonimy: shine,;[sound:quizlet-16914793141-front.mp3];[sound:quizlet-16914793141-back.mp3];"<img src=""quizlet-0vGq5VAOFxuuh3ayuxr3Nw.png"">"
grab rail;poręcz;Synonimy: handrail, rail;[sound:quizlet-16914793145-front.mp3];[sound:quizlet-16914793145-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376081_200115_1158_25.jpg'>
grading;cieniowanie;Synonimy: shading;[sound:quizlet-16914793147-front.mp3];[sound:quizlet-16914793147-back.mp3];"<img src=""quizlet-ifcYS.3.9rKgCpjo-VYOWA.jpg"">"
graining;ziarnowanie;;[sound:quizlet-16914793149-front.mp3];[sound:quizlet-16914793149-back.mp3];"<img src=""quizlet-bzmlYOtSnWXRZr0bhQakww.png"">"
grille;krata;Synonimy: lattice;[sound:quizlet-16914793159-front.mp3];[sound:quizlet-16914793159-back.mp3];"<img src=""quizlet-DWDJ6BM46ZpOtzslap56yQ.jpg"">"
grout;fugi;;[sound:quizlet-16914793170-front.mp3];[sound:quizlet-16914793170-back.mp3];"<img src=""quizlet-ofqbkbzKHg-PjA9VCsdIMg.jpg"">"
gypsum plaster;tynk gipsowy;;[sound:quizlet-16914793176-front.mp3];[sound:quizlet-16914793176-back.mp3];"<img src=""quizlet-eyiHn5W1xfyA4GlAIwOyfA.jpg"">"
hanging stile;ramiak pionowy z zawiasami;;[sound:quizlet-16914793185-front.mp3];[sound:quizlet-16914793185-back.mp3];"<img src=""quizlet-ANFbg-2n7rAyMARJl5gsXg.png"">"
head of frame;część pozioma ościeżnicy;;[sound:quizlet-16914793190-front.mp3];[sound:quizlet-16914793190-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077303_200115_1143_45.jpg'>
herringbone parquet;parkiet jodełkowy;;[sound:quizlet-16914793194-front.mp3];[sound:quizlet-16914793194-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077305_200115_1203_02.jpg'>
hinge;zawias;;[sound:quizlet-16914793196-front.mp3];[sound:quizlet-16914793196-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376239_200115_1151_26.jpg'>
horizontal pivoting window;okno uchylne;;[sound:quizlet-16914797752-front.mp3];[sound:quizlet-16914797752-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077309_200115_1140_04.jpg'>
inlaid parquet;parkiet mozaikowy;;[sound:quizlet-16914797781-front.mp3];[sound:quizlet-16914797781-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077078_200115_1202_04.jpg'>
inset;wstawka;;[sound:quizlet-16914797783-front.mp3];[sound:quizlet-16914797783-back.mp3];"<img src=""quizlet-ZKqDAbRM1YF6pklXlV2MuA.png"">"
jamb;obramowanie (framuga);;[sound:quizlet-16914797803-front.mp3];[sound:quizlet-16914797803-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076997_200115_1152_03.jpg'>
judas;wizjer w drzwiach / judasz;;[sound:quizlet-16914797807-front.mp3];[sound:quizlet-16914797807-back.mp3];"<img src=""quizlet-l4.qVF5N6CmsVcOMzpKTnw.jpg"">"
latch;zatrzask;;[sound:quizlet-16914797826-front.mp3];[sound:quizlet-16914797826-back.mp3];"<img src=""quizlet-BUmRd1Y.IyeKb-0z9s8-sA.jpg"">"
linoleum;linoleum;;[sound:quizlet-16914797837-front.mp3];[sound:quizlet-16914797837-back.mp3];"<img src=""quizlet-jxWp7wspYDCjn8OPcLYZgA.jpg"">"
lock;zamek;;[sound:quizlet-16914797844-front.mp3];[sound:quizlet-16914797844-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076652_200115_1149_49.jpg'>
lock rail;ramiak poziomy;;[sound:quizlet-16914797845-front.mp3];[sound:quizlet-16914797845-back.mp3];"<img src=""quizlet-hKgLyBjUPab9SBPq3h99UQ.jpg"">"
louvred window;okno żaluzjowe;Synonimy: louvered window;[sound:quizlet-16914797848-front.mp3];[sound:quizlet-16914797848-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076656_200115_1138_42.jpg'>
matt;matowy;;[sound:quizlet-16914797868-front.mp3];[sound:quizlet-16914797868-back.mp3];"<img src=""quizlet-TabR-qFF3K1MQ3q314rbiQ.jpg"">"
moulding;listwa profilowa;Synonimy: molding;[sound:quizlet-16914797894-front.mp3];[sound:quizlet-16914797894-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076567_200115_1213_17.jpg'>
muntin;szpros;;[sound:quizlet-16914797897-front.mp3];[sound:quizlet-16914797897-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076568_200115_1144_15.jpg'>
pane;szyba;;[sound:quizlet-16914797926-front.mp3];[sound:quizlet-16914797926-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236076472_200115_1144_47.jpg'>
